City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Airai,TL,-8.9266,125.4092,64.9,85,84,1.01,broken clouds
79,Kayes,ML,14.0,-11.0,76.39,11,94,7.58,overcast clouds
80,Fortuna,US,40.5982,-124.1573,50.67,78,100,14.97,overcast clouds
81,Guangyuan,CN,32.442,105.823,35.44,34,0,2.51,clear sky
82,Jumla,NP,29.2747,82.1838,34.38,53,0,6.87,clear sky
83,Yurla,RU,59.3259,54.3223,7.84,92,46,7.65,scattered clouds
84,Busselton,AU,-33.65,115.3333,58.69,69,33,12.64,scattered clouds
85,Baykit,RU,61.67,96.37,-3.01,100,100,2.35,overcast clouds
86,Littleton,US,39.6133,-105.0166,37.11,73,100,9.22,overcast clouds
87,San Patricio,US,28.017,-97.5169,71.19,76,98,16.96,overcast clouds
88,Atuona,PF,-9.8,-139.0333,78.75,76,30,19.42,scattered clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,82.36,93,77,5.99,light rain
90,Carpinteria,US,34.3989,-119.5185,65.79,68,0,1.99,clear sky
91,Qaanaaq,GL,77.484,-69.3632,-4.09,54,17,9.78,few clouds
92,Castro,BR,-24.7911,-50.0119,67.73,54,0,2.19,clear sky
93,Grahamstown,ZA,-33.3042,26.5328,57.96,85,100,13.69,light rain
94,Punta Arenas,CL,-53.15,-70.9167,62.71,39,40,37.98,scattered clouds
95,Callaguip,PH,18.0714,120.4867,71.62,68,100,1.14,overcast clouds
96,Bulgan,MN,48.8125,103.5347,3.04,81,10,4.23,clear sky
97,Ulladulla,AU,-35.35,150.4667,75.29,80,98,4.88,light rain
98,Carnarvon,AU,-24.8667,113.6333,75.6,76,0,17.07,clear sky
99,Sembakung,ID,3.8167,117.25,72.64,99,59,1.52,light rain
100,Dingle,PH,10.9995,122.6711,73.92,91,98,11.01,overcast clouds
101,Raga,SS,8.4596,25.678,76.23,21,1,4.16,clear sky
102,Hervey Bay,AU,-25.2986,152.8535,81.01,74,17,5.99,few clouds
103,Port Lincoln,AU,-34.7333,135.8667,63.25,84,100,16.31,overcast clouds
104,Codrington,AU,-38.2667,141.9667,58.89,88,100,7.38,overcast clouds
105,Avera,US,33.194,-82.5271,57.25,55,100,4.18,overcast clouds
106,Lebu,CL,-37.6167,-73.65,62.15,82,0,20.71,clear sky
107,Vestmannaeyjar,IS,63.4427,-20.2734,42.37,72,96,26.71,overcast clouds
108,Souillac,MU,-20.5167,57.5167,75.58,94,75,3.44,broken clouds
109,Provideniya,RU,64.3833,-173.3,27.19,99,100,4.41,overcast clouds
110,Panaba,MX,21.2833,-88.2667,77.2,76,64,6.76,light rain
111,Sisimiut,GL,66.9395,-53.6735,10.67,82,100,26.69,light snow
112,Myitkyina,MM,25.3833,97.4,58.01,73,17,2.77,few clouds
113,Sergeyevka,KZ,53.88,67.4158,9.48,96,92,6.96,overcast clouds
114,Yoshida,JP,37.6833,138.8833,31.89,82,100,13.58,light snow
115,Wenling,CN,28.3669,121.36,34.74,50,0,3.18,clear sky
116,Norman Wells,CA,65.282,-126.8329,-12.96,77,20,14.97,few clouds
117,Port Hardy,CA,50.6996,-127.4199,41.18,87,40,6.91,scattered clouds
118,Lavrentiya,RU,65.5833,-171.0,15.66,96,91,2.77,overcast clouds
119,Kapaa,US,22.0752,-159.319,79.12,67,20,23.02,few clouds
120,Kodiak,US,57.79,-152.4072,35.11,100,100,0.0,fog
121,Ambilobe,MG,-13.2,49.05,74.32,94,72,0.76,broken clouds
122,Bantry,IE,51.6833,-9.45,45.79,94,66,3.8,broken clouds
123,Agirish,RU,61.9247,63.0231,14.22,92,53,8.57,broken clouds
124,Albuquerque,US,35.0845,-106.6511,55.58,18,40,23.02,scattered clouds
125,Hilo,US,19.7297,-155.09,71.28,88,100,6.91,moderate rain
126,Ancud,CL,-41.8697,-73.8203,63.25,82,14,6.26,few clouds
127,Namibe,AO,-15.1961,12.1522,74.34,84,100,6.31,overcast clouds
128,Grand Gaube,MU,-20.0064,57.6608,77.38,89,84,6.31,moderate rain
129,Chenzhou,CN,25.8,113.0333,34.66,52,1,0.36,clear sky
130,Kokstad,ZA,-30.5472,29.4241,56.57,96,100,3.04,light rain
131,Hobart,AU,-42.8794,147.3294,68.25,61,66,1.95,broken clouds
132,Lewistown,US,40.5992,-77.5714,47.61,46,0,4.61,clear sky
133,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,75,14.97,broken clouds
134,Bambous Virieux,MU,-20.3428,57.7575,77.22,94,75,3.44,broken clouds
135,Barcelona,ES,41.3888,2.159,46.85,64,75,9.22,broken clouds
136,Anadyr,RU,64.75,177.4833,28.9,74,0,11.18,clear sky
137,Walvis Bay,NA,-22.9575,14.5053,65.08,86,9,4.09,clear sky
138,Udachnyy,RU,66.4167,112.4,-44.01,100,66,3.06,broken clouds
139,Gat,IL,31.61,34.7642,60.4,100,56,5.3,broken clouds
140,Comodoro Rivadavia,AR,-45.8667,-67.5,89.46,22,0,19.57,clear sky
141,Phoenix,US,33.4484,-112.074,66.92,20,20,3.44,few clouds
142,Mar Del Plata,AR,-38.0023,-57.5575,73.42,84,0,15.99,clear sky
143,Hithadhoo,MV,-0.6,73.0833,81.1,77,30,11.61,scattered clouds
144,Awjilah,LY,29.1081,21.2869,55.08,49,0,8.61,clear sky
145,Oranjestad,AW,12.524,-70.027,73.35,88,40,8.05,scattered clouds
146,Biak,ID,-0.9131,122.8766,77.4,81,70,1.95,light rain
147,Nuuk,GL,64.1835,-51.7216,11.88,72,100,5.99,light snow
148,Saint Anthony,US,45.0205,-93.218,7.66,62,0,11.5,clear sky
149,Thomaston,US,32.8882,-84.3266,55.71,21,0,6.91,clear sky
150,Sangar,RU,63.9242,127.4739,-51.05,99,87,1.5,overcast clouds
151,Krasnoselkup,RU,65.7,82.4667,7.77,96,100,6.17,overcast clouds
152,Glenn Heights,US,32.5488,-96.8567,69.42,76,100,16.11,overcast clouds
153,Talnakh,RU,69.4865,88.3972,-4.92,99,97,4.92,overcast clouds
154,Chapais,CA,49.7834,-74.8492,-4.22,92,100,8.41,overcast clouds
155,Ascension,US,30.2169,-90.9001,69.1,56,0,11.5,clear sky
156,Bengkulu,ID,-3.8004,102.2655,75.4,87,93,8.37,overcast clouds
157,Geraldton,AU,-28.7667,114.6,64.81,77,0,9.22,clear sky
158,Concepcion Del Oro,MX,24.6333,-101.4167,66.47,17,99,12.55,overcast clouds
159,Yulara,AU,-25.2406,130.9889,77.4,69,100,6.93,overcast clouds
160,Surgut,RU,61.25,73.4167,6.98,92,75,11.18,broken clouds
161,Panama City,PA,8.9936,-79.5197,85.95,55,20,13.8,few clouds
162,Victoria,HK,22.2855,114.1577,52.25,33,6,11.99,clear sky
163,Sungurlu,TR,40.1675,34.3739,41.31,90,100,5.1,overcast clouds
164,Quimper,FR,48.0,-4.1,41.56,75,100,2.3,overcast clouds
165,Batagay-Alyta,RU,67.8006,130.4114,-39.14,96,65,1.86,broken clouds
166,Margate,GB,51.3813,1.3862,40.69,74,88,1.01,overcast clouds
167,Cayenne,GF,4.9333,-52.3333,75.24,94,100,3.44,overcast clouds
168,Sabha,LY,27.0377,14.4283,48.04,28,0,8.55,clear sky
169,Eyl,SO,7.9803,49.8164,74.34,73,51,18.86,broken clouds
170,Katsuura,JP,35.1333,140.3,38.79,55,82,12.06,broken clouds
171,Dawson Creek,CA,55.7666,-120.2362,4.64,56,0,14.97,clear sky
172,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,83,0,3.44,clear sky
173,Oneida,US,43.2001,-75.4663,36.01,74,0,6.91,clear sky
174,Simao,CN,22.7886,100.9748,48.6,91,96,2.04,overcast clouds
175,Saskylakh,RU,71.9167,114.0833,-32.13,98,97,3.11,overcast clouds
176,Esperance,AU,-33.8667,121.9,60.75,66,1,7.9,clear sky
177,Saldanha,ZA,-33.0117,17.9442,60.85,74,0,22.37,clear sky
178,Port Augusta,AU,-32.5,137.7667,71.58,82,100,4.38,overcast clouds
179,Ust-Kuyga,RU,70.0167,135.6,-33.11,97,100,6.87,overcast clouds
180,Ixtapa,MX,20.7,-105.2,75.22,83,100,1.01,moderate rain
181,La Fleche,FR,47.6982,-0.0755,34.99,91,7,5.35,clear sky
182,Touros,BR,-5.1989,-35.4608,79.88,73,6,13.96,clear sky
183,Viedma,AR,-40.8135,-62.9967,83.23,30,0,10.27,clear sky
184,Shingu,JP,33.7333,135.9833,35.33,66,7,6.49,clear sky
185,Bardiyah,LY,31.7561,25.0865,57.2,60,5,1.68,clear sky
186,Westport,US,41.1415,-73.3579,49.98,56,0,4.61,clear sky
