City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
235,Ballina,AU,81.79,overcast clouds,-28.8667,153.5667,No hotel found
237,Contagem,BR,72.32,few clouds,-19.9317,-44.0536,No hotel found
243,Puerto Carreno,CO,89.58,clear sky,6.189,-67.4859,No hotel found
244,Padang,ID,75.96,light rain,-0.9492,100.3543,No hotel found
248,Ati,TD,79.25,overcast clouds,13.2154,18.3353,No hotel found
255,Tucurui,BR,75.67,overcast clouds,-3.7661,-49.6725,No hotel found
256,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,No hotel found
263,Praia,CV,70.34,clear sky,14.9215,-23.5087,No hotel found
264,Gamba,GA,75.51,broken clouds,-2.65,10.0,No hotel found
267,Vanimo,PG,81.72,broken clouds,-2.6741,141.3028,No hotel found
269,Katobu,ID,76.39,overcast clouds,-4.9408,122.5276,No hotel found
270,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,No hotel found
274,Bauchi,NG,76.32,scattered clouds,10.5,10.0,No hotel found
275,Ghanzi,BW,80.13,broken clouds,-21.5667,21.7833,No hotel found
278,Chuy,UY,72.54,scattered clouds,-33.6971,-53.4616,No hotel found
279,Upington,ZA,79.18,clear sky,-28.4478,21.2561,No hotel found
281,Bumba,CD,74.32,broken clouds,2.1833,22.4667,No hotel found
282,Nicoya,CR,82.8,broken clouds,10.1483,-85.452,No hotel found
284,Amapa,BR,71.15,broken clouds,1.0,-52.0,No hotel found
286,Mogadishu,SO,75.61,few clouds,2.0371,45.3438,No hotel found
289,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,No hotel found
292,Dibulla,CO,78.62,few clouds,11.2725,-73.3091,No hotel found
296,Morondava,MG,81.79,overcast clouds,-20.2833,44.2833,No hotel found
297,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,No hotel found
309,Lorengau,PG,82.24,broken clouds,-2.0226,147.2712,No hotel found
310,Luquillo,PR,78.73,clear sky,18.3725,-65.7166,No hotel found
314,Talara,PE,83.16,clear sky,-4.5772,-81.2719,No hotel found
315,Bathurst,AU,79.97,light rain,-33.4166,149.5806,No hotel found
317,Puerto Suarez,BO,74.93,broken clouds,-18.95,-57.8,No hotel found
319,Port Macquarie,AU,83.89,broken clouds,-31.4333,152.9167,No hotel found
320,Kankan,GN,79.47,overcast clouds,10.3854,-9.3057,No hotel found
322,Huarmey,PE,72.97,overcast clouds,-10.0681,-78.1522,No hotel found
324,Pundaguitan,PH,77.4,overcast clouds,6.3711,126.1689,No hotel found
328,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,No hotel found
329,Lindi,TZ,73.69,scattered clouds,-10.0,39.7167,No hotel found
330,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,No hotel found
333,Acapulco,MX,83.53,clear sky,16.8634,-99.8901,No hotel found
334,Divo,CI,76.64,broken clouds,5.8397,-5.36,No hotel found
336,Hobyo,SO,75.97,scattered clouds,5.3505,48.5268,No hotel found
337,Tabou,CI,78.6,few clouds,4.423,-7.3528,No hotel found
338,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,No hotel found
339,Kulhudhuffushi,MV,79.65,clear sky,6.6221,73.07,No hotel found
343,Pemba,MZ,79.5,few clouds,-12.974,40.5178,No hotel found
345,Fonte Boa,BR,76.71,overcast clouds,-2.4959,-66.2662,No hotel found
347,Ranchuelo,CU,83.48,broken clouds,22.3772,-80.1489,No hotel found
349,Buala,SB,83.08,light rain,-8.145,159.5921,No hotel found
352,Cabo San Lucas,MX,73.51,broken clouds,22.8909,-109.9124,No hotel found
360,Marsh Harbour,BS,71.24,scattered clouds,26.5412,-77.0636,No hotel found
362,Miri,MY,75.34,scattered clouds,4.4148,114.0089,No hotel found
366,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,No hotel found
370,La Asuncion,VE,73.81,clear sky,11.0333,-63.8628,No hotel found
371,Tecoanapa,MX,82.81,clear sky,16.5167,-98.75,No hotel found
374,Christchurch,NZ,71.33,few clouds,-43.5333,172.6333,No hotel found
376,Kisanga,TZ,72.84,clear sky,-7.4362,37.7034,No hotel found
378,Port Blair,IN,80.64,mist,11.6667,92.75,No hotel found
386,Impfondo,CG,74.07,light rain,1.6381,18.0667,No hotel found
388,Kapit,MY,72.73,overcast clouds,2.0167,112.9333,No hotel found
389,Tacuati,PY,81.84,overcast clouds,-23.45,-56.5833,No hotel found
390,Yanam,IN,70.41,scattered clouds,16.7333,82.2167,No hotel found
392,Bairiki,KI,84.2,light rain,1.3292,172.9752,No hotel found
395,Carutapera,BR,75.38,broken clouds,-1.195,-46.02,No hotel found
405,Tamiahua,MX,71.82,scattered clouds,21.2667,-97.45,No hotel found
406,Kahului,US,70.84,moderate rain,20.8947,-156.47,No hotel found
413,Pemangkat,ID,75.42,light rain,1.1667,108.9667,No hotel found
416,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,No hotel found
417,Quatre Cocos,MU,77.09,overcast clouds,-20.2078,57.7625,No hotel found
422,Sokoni,TZ,79.65,clear sky,-6.4333,39.55,No hotel found
431,Sawakin,SD,74.28,broken clouds,19.1059,37.3321,No hotel found
433,Ahipara,NZ,74.62,overcast clouds,-35.1667,173.1667,No hotel found
437,Jacqueville,CI,79.68,scattered clouds,5.2052,-4.4146,No hotel found
438,Iralaya,HN,78.13,broken clouds,15.0,-83.2333,No hotel found
439,Kalmunai,LK,70.79,overcast clouds,7.4167,81.8167,No hotel found
441,Kupang,ID,79.38,few clouds,-10.1667,123.5833,No hotel found
443,Chivilcoy,AR,80.6,clear sky,-34.8957,-60.0167,No hotel found
444,Careiro Da Varzea,BR,77.63,overcast clouds,-3.2003,-59.8119,No hotel found
446,Martin,US,72.97,overcast clouds,27.0837,-80.4164,No hotel found
447,Anloga,GH,80.8,overcast clouds,5.7947,0.8973,No hotel found
448,Gorontalo,ID,75.61,overcast clouds,0.5412,123.0595,No hotel found
450,Santiago Del Estero,AR,80.55,scattered clouds,-27.7951,-64.2615,No hotel found
451,Itarema,BR,79.57,few clouds,-2.9248,-39.9167,No hotel found
452,San Policarpio,PH,75.38,broken clouds,12.0675,124.5625,No hotel found
454,Atambua,ID,76.5,broken clouds,-9.1061,124.8925,No hotel found
455,Santo Antonio Do Ica,BR,75.27,overcast clouds,-3.1022,-67.9397,No hotel found
457,Prado,BR,76.64,overcast clouds,-17.3411,-39.2208,No hotel found
458,Mareeba,AU,78.44,scattered clouds,-17.0,145.4333,No hotel found
459,Mamou,GN,73.69,overcast clouds,10.5,-12.0,No hotel found
461,Valle De Allende,MX,70.0,overcast clouds,26.9333,-105.4,No hotel found
462,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,No hotel found
464,Flinders,AU,83.05,broken clouds,-34.5833,150.8552,No hotel found
465,Bubaque,GW,76.73,broken clouds,11.2833,-15.8333,No hotel found
467,Gizo,SB,83.7,light rain,-8.103,156.8419,No hotel found
471,Caxito,AO,75.42,overcast clouds,-8.5785,13.6643,No hotel found
477,Caravelas,BR,76.35,broken clouds,-17.7125,-39.2481,No hotel found
478,Natitingou,BJ,77.92,broken clouds,10.3042,1.3796,No hotel found
482,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,No hotel found
483,Beloha,MG,76.55,light rain,-25.1667,45.05,No hotel found
484,Harper,LR,78.78,scattered clouds,4.375,-7.7169,No hotel found
490,Soledad,CO,82.53,clear sky,10.9184,-74.7646,No hotel found
